period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare,B50Ishare,B50Wshare,GiniGrossInc,GiniNetInc,GiniWealth
1991-01-01,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,-0.09723653915561448,-0.10886951488741736,0.09586962307643065,0.5790172525973012,-0.0797849697440356,-0.07801626448465404,-0.08012197381869318
1991-04-01,NaN,NaN,NaN,NaN,NaN,NaN,0.021773085838396433,0.013074699451897301,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991-07-01,-0.006311612035248158,-0.005583484993885457,-0.009226080284259728,0.023064017137757548,-0.003814953263538158,0.002079080271572742,0.012248726521365327,0.001982206573845494,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1991-10-01,0.008719926888754616,0.006943262969051722,0.011290879249464505,0.015426810401906105,0.00333351386366003,-0.005444867294089583,0.015071853268232793,0.021718478460214886,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992-01-01,0.011573734090945921,-0.002929222542860388,0.008342524371216877,0.040264785495957606,0.027348126564224293,0.013422552412359757,0.013949967051120282,0.004587897790916598,NaN,-0.11421052554702138,-0.08646980358407896,0.10935297341371752,0.4987223699129717,-0.0939528572627667,-0.11653112584988201,-0.06442853927264675
1992-04-01,-0.006105566783306924,0.010685990774928534,-0.007949329608561404,-0.02828979295354736,-0.011777840860829848,-0.0015000261187320453,0.01319362821725889,0.005211862500049661,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992-07-01,-0.011033147895033122,0.014066516321933498,-0.003983268461862898,-0.049599722692141496,-0.043838046196768746,0.02269233396918765,-0.0017530515639823108,0.015379152297783064,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1992-10-01,-0.009767358424735915,-6.904803562093999e-4,-0.0012552505202384255,-0.006802034168475663,-0.03999812708860569,-0.006952699161876829,-0.016423880589037765,0.0369427483038147,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-01-01,-0.016893905122853325,-0.035559903646388794,-0.0020828346118110007,-0.03580761598819224,-0.0357876841835308,-0.006597456726076622,-0.02692825705896773,0.012875698534312788,NaN,-0.13147761035966798,-0.06289527871835632,0.12397765241717518,0.4078286526728987,-0.10735980933694722,-0.13242764875392177,-0.0481261619267101
1993-04-01,-0.011692378013246239,0.0043233375650243875,-0.015086635039001626,-0.028254791327704337,-0.014818786404653906,-0.0023619980218593573,-0.03539201125007363,0.005038030688708764,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-07-01,0.0015250951620029997,-0.0034526544250218063,0.006054025459421376,-0.033310868662463106,-6.123719202491677e-4,0.003650102112773801,-0.0383717247274884,0.007885537911009413,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1993-10-01,-0.0034146372675542534,-0.007254040900225811,0.006049282995831541,-0.014829379354828282,-0.024144067868107813,0.0031326522958111335,-0.045326356437302096,0.006493351640581827,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994-01-01,0.011457070768531809,0.010563554011703658,0.0022181846744805623,0.025211535698589943,0.036050304004425035,-0.009609927254240624,-0.03842891674169824,-0.009013276084626229,0.01496044174012761,-0.14670969293997582,-0.056444238006956415,0.13142892511291748,0.3712615072544794,-0.11607446143939093,-0.13275471335209477,-0.04275056544810768
1994-04-01,-1.1741648298685273e-4,-0.003015265263713496,-0.0022989102342615185,-0.04572826713754283,0.015345575067727978,-0.008999773177103798,-0.04053956867538577,0.0010549940487129903,0.013785441740127611,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994-07-01,0.001887469145536004,0.002310878261432214,0.004534633976571635,-0.04083743835117923,4.521680082486975e-4,-3.980309693324747e-4,-0.03628688354552967,0.005512707139858611,0.01381877674012761,NaN,NaN,NaN,NaN,NaN,NaN,NaN
1994-10-01,0.006376225211526533,0.009651515244439125,1.1758656858820282e-4,0.049319760347313585,0.014369176541756111,4.39011144164858e-4,-0.03090030559724255,0.0012179475794335901,0.014127109240127611,NaN,NaN,NaN,NaN,NaN,NaN,NaN
