period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare
1991-01-01,NA,NA,NA,NA,NA,NA,0.03207014284344201,NA,NA,-0.09723653915561448,-0.10886951488741736
1991-04-01,-9.096055462629593e-4,0.04746494285321059,-0.012385991393725503,6.269527255651475e-4,0.005618452652524501,0.058218718933207424,0.02199618802783654,0.013074699451897301,NA,NA,NA
1991-07-01,-0.005432755025098324,-0.00843533227909774,-0.007733200396068695,0.024832364806866927,-0.0025260152343226944,0.03894995615143695,0.013876021320613496,0.001982206573845494,NA,NA,NA
1991-10-01,0.012264549690880422,0.025314212162860693,0.01278179014529083,0.016952582749544944,0.004655231063206448,0.11745194366941826,0.018101371684925205,0.021718478460214886,NA,NA,NA
1992-01-01,0.013563006251520626,-0.008054415748149002,0.009831471788884473,0.041928650388074945,0.028646445207104267,-0.1841573284876635,0.01837974560709732,0.004587897790916598,NA,-0.11421052554702138,-0.08646980358407896
1992-04-01,-0.01020826283339904,0.020122000625937518,-0.012067318696714478,-0.032725976719832656,-0.01601146676086704,0.033292013077086534,0.013416730406698996,0.005211862500049661,NA,NA,NA
1992-07-01,-0.013065516816660683,-0.00419212452116533,-0.0011606727835032577,-0.0465292654546636,-0.04121676602057975,0.060606750749083414,0.0012039590254353527,0.015379152297783064,NA,NA,NA
1992-10-01,-0.006254091250935012,0.01543636051734889,0.0015598912765825484,-0.003952030919843948,-0.03735217898806639,0.1186456128513821,-0.010740415481182097,0.0369427483038147,NA,NA,NA
1993-01-01,-0.015257562404674907,-0.05693829581189356,7.248938383427666e-4,-0.03282381306615309,-0.03317117149576984,-0.20238566619436224,-0.01852575077934393,0.012875698534312788,NA,-0.13147761035966798,-0.06289527871835632
1993-04-01,-0.020712633849155004,0.0017585599722258708,-0.023177351850804127,-0.036594859851013045,-0.023034631906978274,0.026989717196753155,-0.035168909060633524,0.005038030688708764,NA,NA,NA
1993-07-01,0.0014537869143298465,-0.006480164809510502,0.00589822208844818,-0.03328881043838325,-9.594119271509624e-4,0.03754303977338327,-0.03839311318740535,0.007885537911009413,NA,NA,NA
1993-10-01,-0.004162285905532137,-0.015050490859004317,0.005893419834561187,-0.014877582316393108,-0.024480131698577854,0.12756581514665402,-0.045592295336873256,0.006493351640581827,NA,NA,NA
