period,Ygrowth,GCgrowth,Cgrowth,GIgrowth,Igrowth,wgrowth,N,pi,RB,TOP10Ishare,TOP10Wshare
1991-01-01,NaN,NaN,NaN,NaN,NaN,NaN,0.03207014284344201,NaN,NaN,-0.09723653915561448,-0.10886951488741736
1991-04-01,0.0022539641392870574,0.042842024219573054,-0.012385991393725503,6.269527255651475e-4,0.005618452652524501,0.017717855436638213,0.02199618802783654,0.013074699451897301,NaN,NaN,NaN
1991-07-01,-0.004927986250511018,-0.004493729307250459,-0.007733200396068695,0.024832364806866927,-0.0025260152343226944,0.0033522240515129584,0.013876021320613496,0.001982206573845494,NaN,NaN,NaN
1991-10-01,0.010101583681127048,0.008031049663320234,0.01278179014529083,0.016952582749544944,0.004655231063206448,-0.004173692506514077,0.018101371684925205,0.021718478460214886,NaN,NaN,NaN
1992-01-01,0.012953427405159625,-0.0018433993267488276,0.009831471788884473,0.041928650388074945,0.028646445207104267,0.014691763721776534,0.01837974560709732,0.004587897790916598,NaN,-0.11421052554702138,-0.08646980358407896
1992-04-01,-0.010332809974913891,0.006164877485217647,-0.012067318696714478,-0.032725976719832656,-0.01601146676086704,-0.005837751315135937,0.013416730406698996,0.005211862500049661,NaN,NaN,NaN
1992-07-01,-0.008319806320127375,0.0164859877987371,-0.0011606727835032577,-0.0465292654546636,-0.04121676602057975,0.02529519353929825,0.0012039590254353527,0.015379152297783064,NaN,NaN,NaN
1992-10-01,-0.007061470731367058,0.0017215372390546506,0.0015598912765825484,-0.003952030919843948,-0.03735217898806639,-0.004357293473306673,-0.010740415481182097,0.0369427483038147,NaN,NaN,NaN
1993-01-01,-0.014195430776155225,-0.03315529939779461,7.248938383427666e-4,-0.03282381306615309,-0.03317117149576984,-0.004009464384175449,-0.01852575077934393,0.012875698534312788,NaN,-0.13147761035966798,-0.06289527871835632
1993-04-01,-0.019892348928502633,-0.004170503448333261,-0.023177351850804127,-0.036594859851013045,-0.023034631906978274,-0.010672450941912676,-0.035168909060633524,0.005038030688708764,NaN,NaN,NaN
1993-07-01,0.0012600376875741342,-0.004011581997553702,0.00589822208844818,-0.03328881043838325,-9.594119271509624e-4,0.0032745626335497877,-0.03839311318740535,0.007885537911009413,NaN,NaN,NaN
1993-10-01,-0.0036797545322785003,-0.00781302826305309,0.005893419834561187,-0.014877582316393108,-0.024480131698577854,0.0027570530262899626,-0.045592295336873256,0.006493351640581827,NaN,NaN,NaN
1994-01-01,0.011191893684260913,0.01000450682932973,0.0020622616936617827,0.02508874610151193,0.035725543481995664,-0.009985586343310222,-0.03893946590046937,-0.009013276084626229,0.011466237977751082,-0.14670969293997582,-0.056444238006956415
1994-04-01,5.956680401534636e-4,-0.00259605083867621,-0.0014765716076673091,-0.04516338483599244,0.016040619351518817,-0.008397170658760406,-0.04031646648594567,0.0010549940487129903,0.010291237977751083,NaN,NaN
1994-07-01,0.0011540050751807423,0.001283544092973034,0.003910424009670266,-0.04128137490368952,-3.6218547595631896e-4,-0.0012419770444846603,-0.0367766786013739,0.005512707139858611,0.010324572977751082,NaN,NaN
1994-10-01,0.005642252556096772,0.00862367249090722,-5.071319833876648e-4,0.04887730241355251,0.013554880511749827,-4.0544351606182664e-4,-0.03210350648344562,0.0012179475794335901,0.010632905477751083,NaN,NaN
1995-01-01,-0.01714032522866845,-0.012607820347297915,-0.006477172500639027,-0.09739204153611467,-0.03932535882476171,0.0027381874955541394,-0.03445302432292863,0.016887649766545533,0.011724570477751082,-0.15273380754335686,-0.044754607178674854
1995-04-01,0.0065213349044376595,0.010340754468699077,0.00780927377932531,-0.023735593509993855,0.003310125154564884,0.005162716395956262,-0.03309478188225068,0.012622757265081644,0.012207905477751083,NaN,NaN
1995-07-01,0.0034147231431855057,0.010474257714473845,0.0013237900958803844,0.0013430186696665992,0.002633680181992863,-0.0056593689464214565,-0.028508185234277228,-0.010917529543857293,0.011099570477751081,NaN,NaN
1995-10-01,-0.0017524304305852273,4.8374993862386906e-4,0.0025109514819633754,-0.04782740852240905,-0.009997614199569656,0.005872756879105306,-0.03306581976981704,-0.0016790122831866951,0.010632905477751083,NaN,NaN
1996-01-01,-0.012833584149429887,-0.006418473384523847,-0.00123036968656639,-0.04366808325862201,-0.04913227352255675,0.006040053534819772,-0.043993929473677085,-0.013312142786925848,0.008441237977751082,-0.12460022939615722,-0.029616455414511078
1996-04-01,0.01757732864769849,-0.0023259486218629817,5.182492927894638e-4,0.06635843506193642,0.08031144096186885,-0.014913173967572708,-0.0417505316201936,-0.01705719089252391,0.007207905477751083,NaN,NaN
1996-07-01,1.814038956115321e-4,0.006252042619854893,0.001120727225017249,0.04429406919678994,-0.0139816139465285,0.002996888697381944,-0.04223131079010933,-0.00312477749716635,0.006866237977751083,NaN,NaN
